Connecting to host 10.0.0.2, port 5566
[ 24] local 10.0.0.4 port 55156 connected to 10.0.0.2 port 5566
[ 24] 112.00-113.00 sec  3.75 MBytes  31.4 Mbits/sec    0   1.32 MBytes       
[ 24] 113.00-114.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.39 MBytes       
[ 24] 114.00-115.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.53 MBytes       
[ 24] 115.00-116.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.59 MBytes       
[ 24] 116.00-117.00 sec  3.75 MBytes  31.5 Mbits/sec    0   1.66 MBytes       
[ 24] 117.00-118.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.69 MBytes       
[ 24] 118.00-119.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.70 MBytes       
[ 24] 119.00-120.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.71 MBytes       
[ 24] 120.00-121.00 sec  3.75 MBytes  31.5 Mbits/sec  324   1.26 MBytes       
[ 24] 121.00-122.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[ 24] 122.00-123.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.36 MBytes       
[ 24] 123.00-124.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.40 MBytes       
[ 24] 124.00-125.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.42 MBytes       
[ 24] 125.00-126.00 sec  2.50 MBytes  21.0 Mbits/sec   36   1.00 MBytes       
[ 24] 126.00-127.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.00 MBytes       
[ 24] 127.00-128.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.05 MBytes       
[ 24] 128.00-129.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.14 MBytes       
[ 24] 129.00-130.09 sec  1.25 MBytes  9.63 Mbits/sec    0   1.18 MBytes       
[ 24] 130.09-131.00 sec  2.50 MBytes  23.0 Mbits/sec    0   1.20 MBytes       
[ 24] 131.00-132.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[ 24] 132.00-133.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.21 MBytes       
[ 24] 133.00-134.10 sec  2.50 MBytes  19.2 Mbits/sec  109    912 KBytes       
[ 24] 134.10-135.00 sec  2.50 MBytes  23.2 Mbits/sec    0    954 KBytes       
[ 24] 135.00-136.00 sec  1.25 MBytes  10.5 Mbits/sec    0    996 KBytes       
[ 24] 136.00-137.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.01 MBytes       
[ 24] 137.00-138.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.02 MBytes       
[ 24] 138.00-139.02 sec  2.50 MBytes  20.7 Mbits/sec    0   1.03 MBytes       
[ 24] 139.02-140.01 sec  1.25 MBytes  10.5 Mbits/sec    0   1.03 MBytes       
[ 24] 140.01-141.00 sec  2.50 MBytes  21.2 Mbits/sec    0   1.03 MBytes       
[ 24] 141.00-142.02 sec  1.25 MBytes  10.3 Mbits/sec    0   1.03 MBytes       
[ 24] 142.02-143.00 sec  2.50 MBytes  21.3 Mbits/sec    0   1.04 MBytes       
[ 24] 143.00-144.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.05 MBytes       
[ 24] 144.00-145.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.07 MBytes       
[ 24] 145.00-146.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.10 MBytes       
[ 24] 146.00-147.10 sec  2.50 MBytes  19.1 Mbits/sec    0   1.17 MBytes       
[ 24] 147.10-148.00 sec  1.25 MBytes  11.6 Mbits/sec    0   1.24 MBytes       
[ 24] 148.00-149.00 sec  1.25 MBytes  10.5 Mbits/sec    6   1.27 MBytes       
[ 24] 149.00-150.00 sec  3.75 MBytes  31.4 Mbits/sec   22   1.01 MBytes       
[ 24] 150.00-151.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.07 MBytes       
[ 24] 151.00-152.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.12 MBytes       
[ 24] 152.00-153.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.19 MBytes       
[ 24] 153.00-154.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.26 MBytes       
[ 24] 154.00-155.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.29 MBytes       
[ 24] 155.00-156.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[ 24] 156.00-157.02 sec  1.25 MBytes  10.3 Mbits/sec    0   1.31 MBytes       
[ 24] 157.02-158.12 sec  2.50 MBytes  19.1 Mbits/sec    0   1.31 MBytes       
[ 24] 158.12-159.00 sec  2.50 MBytes  23.9 Mbits/sec    0   1.31 MBytes       
[ 24] 159.00-160.13 sec  2.50 MBytes  18.6 Mbits/sec    0   1.32 MBytes       
[ 24] 160.13-161.00 sec  2.50 MBytes  24.1 Mbits/sec    0   1.32 MBytes       
[ 24] 161.00-162.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.34 MBytes       
[ 24] 162.00-163.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.37 MBytes       
[ 24] 163.00-164.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.41 MBytes       
[ 24] 164.00-165.01 sec  3.75 MBytes  31.1 Mbits/sec    0   1.47 MBytes       
