Connecting to host 10.0.0.2, port 5566
[  7] local 10.0.0.4 port 33742 connected to 10.0.0.2 port 5566
[  7] 120.00-121.00 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 121.00-122.01 sec   255 KBytes  2.07 Mbits/sec    0   99.0 KBytes       
[  7] 122.01-123.01 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 123.01-124.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 124.00-125.00 sec   445 KBytes  3.65 Mbits/sec    0   99.0 KBytes       
[  7] 125.00-126.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 126.00-127.00 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 127.00-128.00 sec   382 KBytes  3.13 Mbits/sec    0   99.0 KBytes       
[  7] 128.00-129.00 sec   445 KBytes  3.64 Mbits/sec    0   99.0 KBytes       
[  7] 129.00-130.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 130.00-131.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 131.00-132.01 sec   255 KBytes  2.07 Mbits/sec    0   99.0 KBytes       
[  7] 132.01-133.01 sec   445 KBytes  3.65 Mbits/sec    0   99.0 KBytes       
[  7] 133.01-134.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 134.01-135.01 sec   445 KBytes  3.65 Mbits/sec    0   99.0 KBytes       
[  7] 135.01-136.00 sec   255 KBytes  2.10 Mbits/sec    0   99.0 KBytes       
[  7] 136.00-137.00 sec   445 KBytes  3.65 Mbits/sec    0   99.0 KBytes       
[  7] 137.00-138.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 138.00-139.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 139.00-140.00 sec   445 KBytes  3.64 Mbits/sec    0   99.0 KBytes       
[  7] 140.00-141.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
[  7] 141.01-142.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 142.00-143.00 sec   255 KBytes  2.09 Mbits/sec    0   99.0 KBytes       
[  7] 143.00-144.01 sec   255 KBytes  2.07 Mbits/sec    0   99.0 KBytes       
[  7] 144.01-145.01 sec   191 KBytes  1.56 Mbits/sec    0   99.0 KBytes       
